id,name,address,lat,lng
1,BBMP Dry Waste Collection Center,,12.9612233,77.6403753
2,BBMP Dry Waste Segregation Center,,12.9609722,77.6419534
3,Dry Waste Collection Centre,"Park Rd, Jeevanahalli, Jeevanhalli, Cox Town, Bengaluru, 560005",12.9970823,77.6294393
4,Kamala Refinery,,12.9969574,77.6191261
5,recycling,,12.9597739,77.6465069
6,recycling,,12.9449664,77.6865577
7,BBMP Dry Waste Collection Deposit,,13.042512,77.6418415
8,recycling,,12.969904,77.7151607
9,Ravi Chandra's Shop,,12.9476788,77.6244575
10,Nazeer Aahamad,,12.952612,77.6145588
11,Chinni Raju,,12.9528804,77.6152377
12,recycling,,12.9515185,77.6142644
13,recycling,,12.9517365,77.6139065
14,Kumar,,12.9511406,77.6174732
15,recycling,,12.95132,77.6171638
16,recycling,,12.9518495,77.6179311
17,recycling,,12.9527732,77.6173961
18,Sapha,,12.9530481,77.6159168
19,Palani,,12.9537341,77.6168951
20,Muniswamy,,12.9529841,77.6175394
21,Baba shop,,12.9495725,77.6176442
22,Vinayakai,,12.9519474,77.6196686
23,sagai,,12.9492855,77.617491
24,dumping site,,12.9490485,77.6174494
25,recycling,,12.94905,77.617456
26,Sakappan,,12.941691,77.6190666
27,Elumalai,,12.9433716,77.6180879
28,Mukesh,,12.9419692,77.6193404
29,Gajendra,,12.9430309,77.6193113
30,recycling,,12.9433546,77.6187346
31,BBMP Waste Transfer Station,,12.9667632,77.6141253
32,BBMP Waste Collection Center,,13.0159004,77.5553757
33,BBMP,,12.9508087,77.6215833
34,BBMP Dry Waste Collection Center,,12.9646757,77.6145565
35,Dry Waste Collection Center,,13.0892036,77.5893317
36,Wet Waste Transfer Station,,12.9610014,77.6401262
37,recycling,,13.0038907,77.5426982
38,BBMP Dry Waste Collection Centre,,13.0258745,77.5777121
39,BBMP Waste Transfer Station,,12.9769998,77.5804362
40,recycling,,12.9566382,77.6560608
41,recycling,,12.9568134,77.6545474
42,recycling,,12.975857,77.6444886
43,Newspaper recycling store,,12.9481356,77.5999766
44,recycling,,12.978618,77.6360047
45,Sri Vinayaka Old Paper Mart,,12.9571268,77.6550423
46,Muniyappa Recycling,"Hutchins 2nd Cross, Bangalore, 560084",13.0045986,77.6250087
47,recycling,,12.9622101,77.6444944
48,recycling,,12.9449679,77.628935
49,recycling,,12.9181994,77.5958138
50,Mahesh Waste Paper Mart,,12.9204873,77.5957966
51,Omshakti Paper Mart,,13.0261242,77.6039117
52,Murugan Old Paper Mart,,13.0240899,77.6032598
53,Paper Mart,,12.963322,77.6568552
54,recycling,,12.9576577,77.6622725
55,Venkateswara Paper Mart,,12.9760697,77.6378342
56,Paper Mart,,12.9745744,77.6393838
57,recycling,,12.909,77.695
58,recycling,,12.9223189,77.7168686
59,BBMP Dry Waste Collection Center,,13.058757,77.5913487
60,recycling,,12.872932,77.626696
61,recycling,,12.8937647,77.6450451
62,BBMP Dry Waste Collection Center,,12.9324471,77.5804136
63,BBMP Dry Waste Collection Center,,12.9362412,77.5798381
64,recycling,,12.9340268,77.6141786
65,recycling,,12.918,77.57
66,BBMP Dry Waste Collection Center,,12.9675164,77.5635708
67,BBMP Dry Waste Collection Center,,13.0390052,77.5610671
68,recycling,,12.988047,77.5797237
69,recycling,,12.9750091,77.6441623
70,recycling,,13.0092852,77.6187774
71,BBMP Dry Waste Collection Center,,13.0242809,77.5866545
72,recycling,,13.038,77.562
73,BBMP Dry Waste Collection Center,,12.9169027,77.6021902
74,BBMP Dry Waste Collection Center,,12.9188098,77.5848297
75,recycling,,13.0053751,77.6234665
76,Om Shakti Old Paper Mart,,13.0669404,77.5569476
